batch,zone,rat,genotype,treatment,group,groupx,Weight,V_LysB,5HT,5HIAA,TRP,TYR,treat.dur.d,treat.dur.w,ratio.5HIAA.TRP,expe.group
11,Hyp,207,SD,dox,Tph2-wt,SD-dox,99,300,1526,1310,2257,8042,46,6.6,0.580416482,1
11,Hyp,208,SD,dox,Tph2-wt,SD-dox,117,300,1499,1248,2008,7826,46,6.6,0.621513944,1
11,Hyp,209,SD,dox,Tph2-wt,SD-dox,106,300,1576,1407,2121,8049,46,6.6,0.663366337,1
11,Hyp,210,SD,dox,Tph2-wt,SD-dox,173,500,1441,1301,1861,7390,46,6.6,0.699086513,1
11,Hyp,211,TETO,dox,Tph2-kd,TETO-dox,142,300,1042,688,1644,6334,46,6.6,0.418491484,1
11,Hyp,212,TETO,dox,Tph2-kd,TETO-dox,128,300,1017,531,2065,7786,46,6.6,0.257142857,1
11,Hyp,213,TETO,dox,Tph2-kd,TETO-dox,112,300,,,,,46,6.6,#DIV/0!,1
11,Hyp,214,TETO,dox,Tph2-kd,TETO-dox,126,300,1065,682,1590,6783,46,6.6,0.428930818,1
11,Hyp,215,TETO,dox,Tph2-kd,TETO-dox,115,300,1210,873,1790,7638,46,6.6,0.487709497,1
11,Hyp,216,TETO,dox,Tph2-kd,TETO-dox,119,300,1488,1144,2242,9715,46,6.6,0.510258698,1
11,Hyp,217,SD,dox,Tph2-wt,SD-dox,148,300,1693,1324,2163,9741,46,6.6,0.612112806,1
11,Hyp,218,SD,dox,Tph2-wt,SD-dox,141,300,1537,1306,2301,10040,46,6.6,0.567579313,1
12,Hyp,219,TETO,water,Tph2-wt,TETO-water,123,369,1.984861596,949,3231,10025,46,6.6,0.293717115,1
12,Hyp,220,TETO,water,Tph2-wt,TETO-water,128,384,1.51822195,1026,2726,8563,46,6.6,0.376375642,1
12,Hyp,221,TETO,dox,Tph2-kd,TETO-dox,115,345,1.955285844,770,3312,9731,46,6.6,0.232487923,1
12,Hyp,222,TETO,dox,Tph2-kd,TETO-dox,118,354,1.647274153,638,2491,7407,46,6.6,0.256122039,1
12,Hyp,223,TETO,dox,Tph2-kd,TETO-dox,120,360,1.859720225,575,3347,9422,46,6.6,0.171795638,1
12,Hyp,224,TETO,dox,Tph2-kd,TETO-dox,102,306,1.882599033,674,4091,11862,46,6.6,0.164751894,1
12,Hyp,225,TETO,water,Tph2-wt,TETO-water,162,486,1.650542555,921,2764,7564,46,6.6,0.333212735,1
12,Hyp,226,TETO,water,Tph2-wt,TETO-water,130,390,1.611321741,914,2845,8036,46,6.6,0.321265378,1
12,Hyp,227,TETO,water,Tph2-wt,TETO-water,148,444,1.541344196,706,2494,6865,46,6.6,0.283079391,1
12,Hyp,228,TETO,water,Tph2-wt,TETO-water,140,420,1.4598778,699,3050,8441,46,6.6,0.229180328,1
12,Hyp,229,TETO,dox,Tph2-kd,TETO-dox,131,393,1.785743381,772,3210,9148,46,6.6,0.240498442,1
12,Hyp,230,TETO,dox,Tph2-kd,TETO-dox,129,387,1.088391039,963,2719,7552,46,6.6,0.354174329,1
13,Hyp,231,TETO,dox,Tph2-kd,TETO-dox,129,387,959,709,2279,9340,29,4.1,0.31110136,2
13,Hyp,232,TETO,dox,Tph2-kd,TETO-dox,109,327,797,496,3164,12327,29,4.1,0.15676359,2
13,Hyp,233,TETO,water,Tph2-wt,TETO-water,90,300,1140,771,2596,9988,29,4.1,0.296995378,2
