rat;batch;genotype;treatment;group;groupx;dm;RGT;RGT10;RGT20;RGT30;RGT40;RGT50;RGT60;latency;REV;flexibility_index;REV10;REV20;REV30;REV40;REV50;REV60;Do Reverse;rat;PDT100;PDT33;PDT20;PDT14;PDT9;normAUC;rat;hab;E1;E2;E3;Soc pref;STM;STM1;STM2;odor preference;rat;RGT;pdm_rest;RGT10rep;RGT20rep;RGT30rep;RGT40rep;RGT50rep;RGT60rep;comment,,,,,,,,,,,,,,,,,,,,,,,,,,
207;11;SD;dox;CONTROL;SD-dox;INT;57,1;50;84,2;87,5;71,4;60;54,5;1,426443182;91,5;91,5;53,84615385;70,58823529;70,58823529;25;90,90909091;92,10526316;yes;207;79,4893617;87,99283154;83,51851852;72,11038961;56,23233465;0,945167861;207;85;177;91;123;2,08;1,44;1,95;0,74;0,911177473;207;57,1;DM;;;;;;;,
208;11;SD;dox;CONTROL;SD-dox;GDM;100;73,9;87,5;96,2;97,8;100;100;1,408565217;0;0;12,5;0;0;0;0;0;no;208;87,00980392;92,81756181;79,42039618;74,29467085;72,62308998;0,918995189;208;68;232;192;187;3,41;1,24;1,21;1,03;0,626018869;208;100;DM;;;;;;;,,,,,,,,,
209;11;SD;dox;CONTROL;SD-dox;GDM;89,5;20;90,2;100;86,5;97;79,2;1,641152941;41,2;41,2;61,53846154;72,72727273;30;42,85714286;50;33,33333333;undecided;209;77,21153846;89,09883721;65,67520625;13,88384755;10,51587302;0,58209294;209;40;196;120;65;4,9;3,02;1,63;1,85;0,370488335;209;89,5;DM;;;;;;;,,,
210;11;SD;dox;CONTROL;SD-dox;GDM;95,8;70,6;86,7;92,9;95,1;100;90,9;2,111248322;0;0;11,11111111;0;0;20;0;0;no;210;78,86029412;86,43292683;92,04160619;94,06779661;87,81779661;1,133204426;210;82;230;148;152;2,8;1,51;1,55;0,97;0,647926902;210;95,8;DM;;;;;;;,,,,,,
211;11;TETO;dox;TETO-DOX;TETO-dox;INT;45,5;50;45,5;0;37,5;0;83,3;1,784255814;88,7;11,3;44,44444444;63,63636364;83,33333333;92,59259259;87,87878788;90;no;211;84,23005566;79,8245614;87,26851852;73,2745098;19,37016186;0,803727438;211;60;187;147;123;3,12;1,52;1,27;1,2;0,523362162;211;45,5;DM;;;;;;;,,
212;11;TETO;dox;TETO-DOX;TETO-dox;GDM;90,3;28,6;73,7;73,7;90,9;92,5;86,4;2,128533898;84,2;84,2;38,46153846;50;44,44444444;91,30434783;88,88888889;80;yes;212;85,80754352;57,48626374;31,32183908;29,28921569;10,47619048;0,433812415;212;82;203;102;132;2,48;1,54;1,99;0,77;0,708768426;212;90,3;DM;;;;;;;
213;11;TETO;dox;TETO-DOX;TETO-dox;GDM;93,9;33,3;100;100;81;92;100;1,613089474;9,1;9,1;11,11111111;20;0;0;0;12,5;no;213;81,97463768;86,97947214;70,97902098;43,99425287;51,85381356;0,772900043;213;63;184;184;191;2,92;0,96;1;0,96;0,472156785;213;93,9;DM;;;;;;;,,,,,,,,
214;11;TETO;dox;TETO-DOX;TETO-dox;GDM;100;70,6;93,1;100;100;100;100;1,744869565;0;0;0;16,66666667;0;0;0;0;no;214;77,39687848;85,23076923;83,83673469;76,04166667;24,80376766;0,895726592;214;64;218;189;137;3,41;1,59;1,15;1,38;0,72936083;214;100;DM;;;;;;;,,,,,,,,,,,
215;11;TETO;dox;TETO-DOX;TETO-dox;PDM;0;33,3;33,3;37,5;0;0;0;1,457529412;84,6;15,4;66,66666667;100;77,77777778;88,23529412;76,92307692;92,30769231;no;215;91,96617336;77,63951735;36,81289641;33,76623377;38,62573099;0,54304876;215;64;232;172;119;3,63;1,95;1,35;1,45;0,52334791;215;0;PDM;;;;;;;,,,,
216;11;TETO;dox;TETO-DOX;TETO-dox;GDM;87,5;69,2;91,7;100;89,2;94,7;76,9;1,891774648;0;0;18,18181818;0;20;0;0;0;no;216;90,82980973;94,81481481;85,42609351;15,06993007;17,01754386;0,584121563;216;76;201;217;193;2,64;1,04;0,93;1,12;0,364448955;216;87,5;DM;;;;;;;,,,,,,
